"company","price"
"SFM",138.75
"INSM",77.445
"CRDO",44.72
"PCVX",74.46
"RKLB",17.88
"FTAI",103.76
"CRS",186.56
"AIT",228.1403
"FN",221.45
"SSB",93.25
"FLR",37.74
"GTLS",152.5
"MLI",80.145
"HQY",81.04
"IONQ",22.48
"GKOS",101.46
"EXLS",47.025
"ENSG",130.455
"SPSC",130.265
"BPMC",90.41
"MOD",85.04
"BECN",121.38
"UFPI",107.74
"ONB",21.47
"CVLT",163.39
"SPXC",135.855
"HALO",63.13
"RVMD",38.43
"EAT",137.725
"TMHC",59.56
"RMBS",54.965
"LNTH",102.25
"AUR",7.2885
"COOP",103.444
"CWST",108.856
"BMI",198.03
"CSWI",287.72
"SUM",52.49
"RHP",95.63
"ANF",82.715
"ALTM",5.84
"TRNO",66.575
"HLNE",147.96
"JXN",82.96
"MDGL",336.148
"FSS",77.8
"NXT",44.32
"ALTR",111.53
"GPI",391.49
"JBTM",126.98
"ESNT",55.315
"KNF",92.89
"MMSI",99.87
"HRI",128.805
"STRL",121.585
"MTH",70.075
"HIMS",32.085
"LUMN",4.8985
"GBCI",45.195
"CHX",29.665
"CMC",46.79
"GH",44.335
"WTS",213.88
"SIGI",88.87
"GATX",154.66
"MARA",12.38
"ZWS",33.69
"QTWO",78.66
"ACIW",53.37
"HOMB",28.44
"EPRT",31.86
"BE",23.98
"SMTC",39.9
"CYTK",43.41
"UPST",50.02
"DY",157.405
"PIPR",254.3
"UMBF",103.03
"NOVT",137.2
"QLYS",131.66
"TENB",37.395
"KRG",22.06
"BBIO",32.984
"BCPC",166.02
"UBSI",35.16
"PRMB",31.845
"OPCH",34.275
"ABG",234.39
"KTOS",31.76
"BIPC",35.7045
"ALKS",34.91
"AVAV",126.75
"HWC",51.925
"CWAN",26.775
"LRN",121.6823
"SOUN",9.525
"WK",88.875
"CORT",56.265
"CADE",30.38
"BCC",100.045
"CNR",73.855
"BOOT",103.93
"CTRE",28.995
"KTB",62.585
"RDN",31.54
"AROC",26.195
"BDC",105.395
"IBP",173.015
"ITRI",106.49
"VRNS",42.205
"ACA",80.885
"CBT",84.38
"MAC",17.2
"SKY",92.02
"SM",30.93
"ITGR",120.64
"SITM",180.32
"NSIT",155.99
"FFIN",35.67
"PRIM",64.51
"SLG",58.08
"AEIS",106.43
"EXPO",83.33
"MMS",68.52
"NJR",49.005
"SHAK",86.565
"NE",24.95
"SKYW",88
"MATX",127.84
"SLAB",126.18
"CALM",87.985
"SANM",77.31
"MGY",24.56
"SFBS",82.8
"PECO",35
"VLY",8.875
"FTDR",37.8
"KBH",60.95
"IDCC",218.225
"FELE",99.97
"KAI",344.765
"FCFS",117.88
"BOX",30.935
"AHR",29.555
"VRRM",20.6499
"SWX",75.49
"MUR",26.75
"RDNT",49.39
"STEP",55.36
"MC",60.62
"IRT",20.84
"GEO",27.245
"POR",44.065
"ESGR",332.13
"ABCB",58.035
"CNX",32.15
"NARI",79.97
"TXNM",53.71
"FUN",36.93
"CNO",41.09
"WHD",46.31
"RXO",18.59
"PLXS",126.245
"GVA",74.2377
"BCO",86.9
"ASB",22.6
"TGTX",39.95
"SBRA",17.635
"CBZ",73.34
"BKH",60.07
"SR",76.465
"ENS",98.03
"ASGN",68.305
"GLNG",36.885
"NOG",30.61
"OGS",74.03
"CVCO",508.775
"AVNT",40.355
"PJT",142.445
"KRYS",188.665
"ALE",65.395
"ASO",47.57
"AXSM",124.71
"AX",63.59
"INTA",59.63
"PBH",83.8166
"ATGE",97.785
"AI",22.49
"ORA",70.915
"MIR",14.75
"JOBY",6.3595
"NPO",172.02
"FRSH",15.39
"URBN",49.18
"ADMA",19.29
"RIOT",7.665
"KFY",67.77
"MWA",28.1
"RUSHA",53.91
"CRC",44.49
"MHO",116.885
"HAE",64.85
"ATMU",37.595
"LBRT",14.42
"UCB",28.82
"ICUI",149.85
"PTEN",8.075
"ROAD",73.34
"IBOC",63.105
"TDS",35.42
"POWI",57.56
"RELY",19.97
"TCBI",75.62
"PTCT",56.325
"SKT",32.15
"SRRK",33.975
"BHVN",28.605
"ESE",159.18
"REZI",17.94
"BL",50.065
"APLE",13.57
"TPH",31.325
"IRTC",103.635
"CARG",30.785
"HP",25.455
"CRNX",34.8
"PCH",45.56
"SATS",25.945
"SMPL",33.065
"EBC",16.49
"FUL",54.46
"ABM",46.77
"LANC",178.695
"VCYT",31.435
"CDP",26.95
"UNF",206.25
"GMS",72.765
"NWE",55.82
"ZETA",14.175
"SYNA",65.44
"DORM",126.785
"RNA",30.87
"FORM",32.74
"CCOI",70.26
"OSCR",13
"TEX",39.27
"ACVA",14.5
"UEC",5.455
"CNK",25.8375
"FULT",18.36
"OTTR",83.1
"TRN",29.33
"CBU",58.175
"HL",5.69
"RYTM",53.02
"PI",92.4
"SXT",74.04
"MGEE",92.96
"BXMT",21.025
"WDFC",245.64
"PATK",84.255
"ATKR",66.875
"AMBA",54.6
"VERX",34.735
"TWST",41.42
"PBF",21.68
"PRCT",57.26
"SNEX",115.11
"BLKB",64.34
"HASI",29.75
"AEO",11.87
"WD",87.0369
"TGNA",18.295
"BNL",17.12
"HBI",5.955
"NMIH",35.47
"OSIS",196.115
"CRVL",106.9575
"BGC",9.21
"AUB",32.67
"SHOO",25.6
"BRZE",36.385
"TNET",80.11
"VSCO",21.2
"SG",23.73
"HGV",37.33
"PTON",6.785
"VAL",40.9115
"MGRC",114.605
"PFSI",99.44
"NHI",75.705
"ALIT",6.255
"NUVL",76.78
